vref,source,target,alignment_score
GEN 1:1,am,in,0.571
GEN 1:1,anfang,beginning,0.431
GEN 1:1,schuf,created,0.2551
GEN 1:1,gott,god,0.1565
GEN 1:1,himmel,heaven,0.4607
GEN 1:1,und,and,0.4214
GEN 1:1,erde,earth,0.4082
GEN 1:1,.,.,0.6455
GEN 1:2,und,and,0.255
GEN 1:2,die,and,0.1799
GEN 1:2,erde,earth,0.1602
GEN 1:2,war,was,0.1355
GEN 1:2,wüst,and,0.1121
GEN 1:2,und,without,0.08765
GEN 1:2,und,form,0.10645
GEN 1:2,und,",",0.1302
GEN 1:2,und,and,0.1827
GEN 1:2,und,void,0.1221
GEN 1:2,leer,and,0.11646
GEN 1:2,",",and,0.1576
GEN 1:2,und,;,0.09766
GEN 1:2,und,darkness,0.1766
GEN 1:2,es,was,0.1715
GEN 1:2,war,was,0.1028
GEN 1:2,finster,the,0.132
GEN 1:2,auf,upon,0.07
GEN 1:2,auf,face,0.116
GEN 1:2,auf,of,0.1736
GEN 1:2,der,the,0.154
GEN 1:2,der,deep,0.1516
GEN 1:2,der,.,0.1022
GEN 1:2,tiefe,the,0.09576
GEN 1:2,;,the,0.1299
GEN 1:2,und,and,0.10504
GEN 1:2,der,spirit,0.1381
GEN 1:2,geist,of,0.1211
GEN 1:2,gottes,the,0.1129
GEN 1:2,schwebte,the,0.1746
GEN 1:2,auf,upon,0.0991
GEN 1:2,auf,face,0.1965
GEN 1:2,auf,of,0.1445
GEN 1:2,dem,of,0.1876
GEN 1:2,wasser,the,0.186
GEN 1:2,wasser,waters,0.2151
GEN 1:2,.,.,0.3052
GEN 1:3,und,and,0.5317
GEN 1:3,gott,god,0.4124
GEN 1:3,sprach,said,0.366
GEN 1:3,:,let,0.2343
GEN 1:3,es,there,0.2524
GEN 1:3,werde,be,0.2722
GEN 1:3,licht,light,0.2927
GEN 1:3,!,:,0.3135
GEN 1:3,und,and,0.3347
GEN 1:3,es,there,0.3577
GEN 1:3,es,was,0.1566
GEN 1:3,ward,and,0.1038
GEN 1:3,licht,light,0.4346
GEN 1:3,.,.,0.564
GEN 1:4,und,and,0.413
GEN 1:4,gott,god,0.3132
GEN 1:4,sah,saw,0.2683
GEN 1:4,",",the,0.2404
GEN 1:4,daß,that,0.1213
GEN 1:4,das,light,0.11505
GEN 1:4,licht,light,0.0748
GEN 1:4,licht,:,0.05762
GEN 1:4,gut,it,0.1672
GEN 1:4,gut,good,0.1443
GEN 1:4,war,was,0.152
GEN 1:4,da,and,0.265
GEN 1:4,schied,divided,0.1996
GEN 1:4,gott,god,0.12024
GEN 1:4,das,light,0.2361
GEN 1:4,licht,light,0.2068
GEN 1:4,von,from,0.1986
GEN 1:4,der,the,0.2001
GEN 1:4,der,.,0.2094
GEN 1:4,finsternis,darkness,0.2299
GEN 1:5,und,and,0.322
GEN 1:5,und,god,0.2467
GEN 1:5,nannte,called,0.2294
GEN 1:5,das,light,0.1384
GEN 1:5,licht,light,0.25
GEN 1:5,tag,day,0.22
GEN 1:5,und,",",0.1921
GEN 1:5,die,and,0.1656
GEN 1:5,finsternis,darkness,0.2399
GEN 1:5,nacht,the,0.09235
GEN 1:5,nacht,he,0.2152
GEN 1:5,.,.,0.1143
GEN 1:5,da,night,0.1649
GEN 1:5,da,and,0.1263
GEN 1:5,ward,and,0.2396
GEN 1:5,aus,the,0.2157
GEN 1:5,abend,the,0.1153
GEN 1:5,abend,evening,0.1912
GEN 1:5,und,and,0.167
GEN 1:5,morgen,the,0.1442
GEN 1:5,morgen,morning,0.2455
GEN 1:5,morgen,were,0.1483
GEN 1:5,der,the,0.1737
GEN 1:5,erste,the,0.2112
GEN 1:5,erste,first,0.2112
GEN 1:5,tag,day,0.267
GEN 1:5,.,.,0.3796
