source,target,alignment_count
!,:,1
",",and,1
",",the,1
.,.,5
:,let,1
;,the,1
abend,evening,1
abend,the,1
am,in,1
anfang,beginning,1
auf,face,2
auf,of,2
auf,upon,2
aus,the,1
da,and,2
da,night,1
das,light,3
daß,that,1
dem,of,1
der,.,2
der,deep,1
der,spirit,1
der,the,3
die,and,2
erde,earth,2
erste,first,1
erste,the,1
es,there,2
es,was,2
finster,the,1
finsternis,darkness,2
geist,of,1
gott,god,4
gottes,the,1
gut,good,1
gut,it,1
himmel,heaven,1
leer,and,1
licht,:,1
licht,light,5
morgen,morning,1
morgen,the,1
morgen,were,1
nacht,he,1
nacht,the,1
nannte,called,1
sah,saw,1
schied,divided,1
schuf,created,1
schwebte,the,1
sprach,said,1
tag,day,2
tiefe,the,1
und,",",2
und,;,1
und,and,9
und,darkness,1
und,form,1
und,god,1
und,void,1
und,without,1
von,from,1
war,was,3
ward,and,2
wasser,the,1
wasser,waters,1
werde,be,1
wüst,and,1
