,source,target,alignment_count,Unnamed: 0,vref,verse_score,alignment_score
0,abend,the,1,83.0,4.0,0.4653693328642907,0.1406139325030205
1,am,in,1,0.0,0.0,0.7297867766812745,0.5955611471805253
2,anfang,beginning,1,1.0,0.0,0.7297867766812745,0.4891198327032574
3,auf,face,2,27.5,1.0,0.3008168157456927,0.1500567173272968
4,auf,of,2,28.5,1.0,0.3008168157456927,0.1600755613113946
5,auf,upon,2,26.5,1.0,0.3008168157456927,0.07798296291329634
6,aus,evening,1,82.0,4.0,0.4653693328642907,0.2260150957132183
7,aus,the,1,81.0,4.0,0.4653693328642907,0.185708332747616
8,da,and,2,69.0,3.5,0.5365912598427034,0.21471291894014224
9,da,good,1,58.0,3.0,0.607813186821116,0.2341323532891294
10,da,night,1,78.0,4.0,0.4653693328642907,0.2384481629824275
11,das,divided,1,62.0,3.0,0.607813186821116,0.201855282757145
12,das,light,2,61.5,3.5,0.5365912598427034,0.20951532253616256
13,das,that,1,54.0,3.0,0.607813186821116,0.2132730395362753
14,daß,saw,1,52.0,3.0,0.607813186821116,0.1478587614138214
15,dem,of,1,35.0,1.0,0.3008168157456927,0.1956198336680789
16,der,deep,1,25.0,1.0,0.3008168157456927,0.1929754491247142
17,der,spirit,1,28.0,1.0,0.3008168157456927,0.1266835555903044
18,der,the,3,59.0,2.6666666666666665,0.4579997784770331,0.24475919338930843
19,die,and,2,41.5,2.5,0.38309307430499173,0.1526988592644973
20,erde,earth,2,8.5,0.5,0.5153017962134836,0.41729305794053856
21,erste,first,1,89.0,4.0,0.4653693328642907,0.289896779037756
22,es,there,2,43.0,2.0,0.6161210613185989,0.3588042655867967
23,es,was,2,32.0,1.5,0.45846893853214576,0.1592557684880268
24,finster,the,1,20.0,1.0,0.3008168157456927,0.1074593190719263
25,finsternis,darkness,2,70.5,3.5,0.5365912598427034,0.3314296584943227
26,finsternis,he,1,76.0,4.0,0.4653693328642907,0.2386173993782841
27,geist,moved,1,29.0,1.0,0.3008168157456927,0.1624998379085176
28,gott,god,4,38.0,2.0,0.6403835529105263,0.29384280348169173
29,gottes,the,1,30.0,1.0,0.3008168157456927,0.1299097936138521
30,gut,it,1,56.0,3.0,0.607813186821116,0.2578272590114957
31,himmel,heaven,1,4.0,0.0,0.7297867766812745,0.481561933546885
32,leer,and,1,16.0,1.0,0.3008168157456927,0.1878322431211595
33,licht,light,5,56.0,2.8,0.5826475658287441,0.33841910884583465
34,morgen,morning,1,86.0,4.0,0.4653693328642907,0.2349127550417914
35,morgen,the,1,85.0,4.0,0.4653693328642907,0.1303132062582588
36,morgen,were,1,87.0,4.0,0.4653693328642907,0.1930192137931999
37,nacht,called,1,77.0,4.0,0.4653693328642907,0.2638890057857327
38,nannte,called,1,69.0,4.0,0.4653693328642907,0.2355504642152026
39,sah,saw,1,51.0,3.0,0.607813186821116,0.3230672043239397
40,schied,divided,1,60.0,3.0,0.607813186821116,0.1257208753100878
41,schuf,created,1,2.0,0.0,0.7297867766812745,0.3067116035046239
42,schwebte,the,1,31.0,1.0,0.3008168157456927,0.2133252240475925
43,sprach,let,1,40.0,2.0,0.6161210613185989,0.249224669638946
44,sprach,said,1,39.0,2.0,0.6161210613185989,0.3993241384053489
45,tag,day,2,81.0,4.0,0.4653693328642907,0.33258795667388946
46,tiefe,the,1,26.0,1.0,0.3008168157456927,0.1630623023728062
47,und,and,9,43.77777777777778,2.3333333333333335,0.5075093018026495,0.32236573490531106
48,und,darkness,1,17.0,1.0,0.3008168157456927,0.1633840265749745
49,und,form,1,14.0,1.0,0.3008168157456927,0.1091251852976879
50,und,god,1,68.0,4.0,0.4653693328642907,0.2532244556592976
51,und,the,1,6.0,0.0,0.7297867766812745,0.4177575072357392
52,und,void,1,15.0,1.0,0.3008168157456927,0.1993904823939083
53,und,without,1,13.0,1.0,0.3008168157456927,0.0881749925787122
54,von,from,1,64.0,3.0,0.607813186821116,0.3355334194613314
55,war,was,3,29.0,1.6666666666666667,0.40314893943750046,0.1592793928887806
56,ward,and,2,63.5,3.0,0.5407451970914448,0.15660210577614664
57,wasser,waters,1,36.0,1.0,0.3008168157456927,0.3316409517842151
58,werde,be,1,42.0,2.0,0.6161210613185989,0.3190218179459547
59,wüst,and,1,12.0,1.0,0.3008168157456927,0.1784133230867349
